"name","address","rankingPosition","rating","description","numberOfReviews","priceLevel","priceRange"
"B.Better","26 rue Beautreillis, 75004 Paris France","20","5","B.BETTER is a 100% Vegetal and 100% Gourmet restaurant. A complete offer, a top location and reasonable prices make B.BETTER, a unique place to rediscover street-food in a vegetal version in the heart of the capital. The recipes are inspired by the seasons and the ingredients we love. B.BETTER products are homemade, made to order and sourced as much as possible from local agriculture. A new concept, which we hope will make it possible to democratize the vegetable diet on a daily basis, while reducing our environmental impact. Strive for the best and respect our planet without forgetting to have fun! ""Nobody's Perfect, Be Better."" Erika & Lucas (founders of B.BETTER)","101","$$ - $$$","$15 - $30"
"Bistro Chez Pradel","3 rue du Pasteur Wagner, 75011 Paris France","27","5",,"184","$$ - $$$","$12 - $40"
"Il Etait Un Square","54 rue Corvisart, 75013 Paris France","6","5","Notre restaurant est spécialisé en burgers et tartares. La particularité de nos burgers : la crème de fromage. Nos burgers et tartares sont réalisés avec une viande bovine (Aubrac rustique) issue d'élevages traditionnels français. Nos buns boulangers sont bio. 21h30 (derniere reservation)","4216","$$ - $$$",
"Assanabel Paris","6 rue Pierre Chausson, 75010 Paris France","8","5","Assanabel Paris, les restaurants où notre spécialité est la délicieuse cuisine libanaise créée avec ingéniosité et passion inspirée des plus belles saveurs du Liban. Depuis 1988, nous prenons soin d’innover en fonction de vos goûts tout en préservant tradition et qualité. Venez donc découvrir la cuisine du pays du cèdre chez le meilleur restaurant libanais à Paris !","995","$$ - $$$","$30 - $60"
"Perlimpinpin","121 rue de Rome, 75017 Paris France","16","5",,"685","$$ - $$$","$15 - $27"
"ASPIC","24 rue de la Tour D Auvergne, 75009 Paris France","28","5","ASPIC is the small size gastronomic restaurant of chef Quentin Giroud: few tables, dishes served by the cooks who will comment to you personally what they have prepared. Season products are privileged; wines are selected from small winemakers. We only serve a fixed 7 course menu for €109. “No choice”, to guarantee that the ingredients are absolutely fresh and perfectly prepared for a unique cooking experience. There are all kinds of restaurants, fish or meat specialists, gastronomic or bistros, some “with choice”, others “without choice”, etc… Your choice is to “trust us” for one evening! We also strongly recommend our creative and generous wine pairing (mandatory for 5 to 6 guests tables) for an optimal experience. BOOKINGS OPEN 30 DAYS IN ADVANCE MAXIMUM. ASPIC holds a MICHELIN star in the 2022 France Guide. (The restaurant has a very limited capacity, we are unfortunately not able to accommodate strollers and infants.)","1228","$$$$","$119"
"Boutary","25 rue Mazarine, 75006 Paris France","13","5","Boutary is a chic and trendy ""boutique bistro"" with traditional French roots but a modern and affordable approach to gastronomic cuisine. High-end festive delicacies prepared by an expert chef and a short but exceptional selection of wines, champagne and vodkas are offered at reasonable prices. Caviar is one of the house's specialities: although not compulsory, we suggest you try a sampling or a small caviar dish to make your experience at Boutary truly unique.","1665","$$$$","$50 - $120"
"Oriental Bowl - Bar a couscous","13 rue de la Huchette Quartier latin, 75005 Paris France","30","5","A whole new form of fast food in France or eating fast and healthy. With fresh, high-quality products. Oriental Bowl - couscous bar offers you power over your plate. It's up to you to choose and compose your dish down to the smallest detail according to your desires! You will be able to enjoy your meal without unpleasant surprises, to take away or to taste on site.","108","$$ - $$$","$7 - $14"
"Au P'tit Curieux","27 rue de Sambre Et Meuse, 75010 Paris France","29","5","We offer simple, yet sophisticated and elegant fare, created from the freshest products, to delight the eyes as well as the discriminating palate. Please note that our restaurant is not suitable for children under 8 years old.","779","$$ - $$$","$40 - $70"
"New Jawad Longchamp","30 rue de Longchamp, 75116 Paris France","33","5",,"3489","$$ - $$$",
"Da Giuseppe","76 rue du Faubourg Poissonniere, 75010 Paris France","3","5","Fresh and authentic Italian products. Long-lasting artisanal pizza dough made in our local using a balanced mixture of Italian flours, homemade natural sourdough, Himalayan pink salt, ensuring lightness, aromas and digestibility. Fruits and vegetables from the market. DOP “Denominazione di Origine Protetta” cheeses and cured meats cut to order preserving taste and freshness.","811","$","$5 - $13"
"Pizzamore Paris","121 Avenue Du Maine, 75014 Paris France","25","5","Bonjour! À la recherche d'une authentique expérience italienne au cœur de Paris? Ne cherchez plus, rendez-vous chez Pizzamore, situé dans le charmant quartier de Montparnasse : 14e arrondissement. Notre pizzeria vous offre une expérience gastronomique 100% italienne avec des pâtes fraîches, des pizzas gourmet et des desserts traditionnels. Que vous souhaitiez dîner sur place, vous faire livrer ou emporter, notre emplacement privilégié près de la station de Montparnasse facilite la dégustation des saveurs italiennes tout en séjournant à Paris. Nous avons hâte de vous accueillir.","755","$$ - $$$","$17 - $78"
"Bistrot Instinct","19 rue de Picardie, 75003 Paris France","4","5",,"471","$$ - $$$","$35 - $63"
"Pur' - Jean-Francois Rouquette","5 Rue de la Paix Park Hyatt Paris, 75002 Paris France","22","5","Niché au sein du Park Hyatt Paris-Vendôme, palace contemporain de la Place Vendôme, PUR’ est le restaurant multi-récompensé de Jean-François Rouquette. Avec une étoile Michelin et 17,5 au Gault & Millau, il y propose une approche délicate et instinctive de la gastronomie française. Très expérientiel, PUR’ – JEAN-FRANCOIS ROUQUETTE propose de vivre le ballet d’une brigade le temps d’un dîner à la carte, en 6 ou en 9 services. Depuis la rotonde ou confortablement installé sur les épaisses banquettes tendues de velours clair, le restaurant promet une vue imprenable sur sa majestueuse cuisine ouverte. En rejoignant la « Table du chef » (4 à 6 convives), d’aucuns s’offrent l’exclusivité de l’avant-scène, avec un accès exceptionnel à la création culinaire. Toujours très conviviale, l’ambiance du restaurant reflète la philosophie de son chef moderne, amoureux des beaux produits, et porté par le partage et la transmission. Chef pâtissier : Narae Kim / Chef sommelier : James Barnett","1327","$$$$","$250 - $490"
"Chez Nicos","44 rue Mouffetard, 75005 Paris France","1","4.5","Chez Nicos est une crêperie, avec crêpes sucrées dessert,galette sarrasin pour salé et Paninis à emporter. Option VEGAN friendly","826","$","$4 - $10"
"Chefs a Table","15 rue Trousseau, 75011 Paris France","36","5","Restaurant semi-gastronomique où il fait bon s’arrêter pour déguster une cuisine variée, originale et bien maîtrisée. Les produits frais sont à l’honneur dans notre établissement. L'équipe Chefs à Table vous attends pour partager un agréable moment.","181","$$ - $$$","$25 - $65"
"Pizza Du Chef","11 rue Georges Marie, 92130 Issy-les-Moulineaux France","1","4.5",,"713","$",
"Habile.","16 rue de Lancry À l'angle de la rue de Lancry et de la rue Château d'eau, 75010 Paris France","9","5","La couturière et le marmiton. Ça pourrait être un conte d’Andersen. C’est juste HABILE. un point c’est tout. Papa pique et maman coud, Éric, c’est le chef, Camille, c’est le patron. Un beau roman, une belle histoire, une romance d’aujourd’hui, ils se sont rencontrés sur l’autoroute du kif et ne l’ont jamais quittée. À l’angle de la rue de Lancry et de la rue du Château d’Eau, HABILE. est une maison à leur image. Un restaurant, d’abord. Un endroit où l’on fait à manger pour restaurer, pour faire du bien, pour faire le bien. Trois ingrédients, bons, propres et durables, trois fois tout plutôt que trois fois rien. Et qu’il se passe quelque chose dans l’assiette, que l’ennui tombe. Betterave, framboise, noisette, chouchou indétrônable, ou chou-fleur, croûton, citron, ça pulse mais ça tient en équilibre. Aller à l’essentiel, épurer, toujours se poser la question : « qu’est-ce qu’on enlève pour que ce soit meilleur ? ».","192","$$ - $$$","$17 - $76"
"Miura","15, rue de l'Arc de Triomphe, 75017 Paris France","24","5",,"160","$$$$","$59 - $85"
"Cavale","40 Rue des Petites Ecuries, 75010 Paris France","11","5",,"182","$$ - $$$",
"Mache","61 rue de Chabrol, 75010 Paris France","53","5","Mâche, restaurant créé par Vincent Geraud comme un éternel mouvement basé sur la convivialité et la prise en compte de notre planète ; un lieu vivant où la cuisine du chef Michaël Gamet s'inspire des saisons et de ses nombreux voyages... Une créativité centrée sur l'accord, l'assaisonnement et les condiments, vision partagée par une équipe jeune et passionnée. Des goûts francs et osés, parfois surprenants, parfois réconfortants, mais toujours superbement accompagnés par une sélection de vins nature par Mathias Fouré, responsable en salle, amoureux du métier et des bonnes quilles","116","$$$$","$60 - $100"
"Gosier","27 rue Rodier, 75009 Paris France","48","5","Welcome to Gosier! A friendly restaurant proposing a delicate seasonal cooking. Enjoy the surprise of our audacious pairings of our small plates to share, allowing you to vary your gustatory pleasures. No limit for treats, the menu is renewed every two weeks, for always more delights! The wine menu is as attractive. You will find untypical wines, or more classical ones, organic, bio-dynamic, and also natural wines, all coming from French regions, and carefully selected. Come and discover our coups de coeur of the moment!","217","$$ - $$$",
"Via Emilia","22 rue la Bruyere 22 rue la Bruyère, 75009 Paris France","43","5",,"478","$$ - $$$",
"Chez Arnaud","16 rue Eugene Jumin, 75019 Paris France","45","4.5",,"1633","$","$18 - $25"
"Azur Cafe","63 rue de Ponthieu, 75008 Paris France","67","5","Café restaurant en plein coeur du 8ème arrondissement, à deux pas des champs Elysée proposant des brunch healthy toute la journée, ainsi que des plats saint, colorés et savoureux.","242","$$ - $$$",
"L'Atelier Ramey","23 rue Ramey, 75018 Paris France","40","4.5",,"696","$$ - $$$","$18 - $42"
"Il Grano","212 B boulevard Pereire, 75017 Paris France","50","4.5","Family-friendly pizzeria-trattoria with delivery and take-out services open 7 days a week available at www.restaurantilgrano.com. Specialties of fresh artisanal pasta and Roman pizzas (pinsa romana which is the ancestor of Neapolitan pizza). 100% home cooking including bread and desserts. The restaurant offers a wide view of the open kitchen, possibility of eating on the terrace.","1718","$$ - $$$","$15 - $35"
"Poni","24 rue Saint Lazare, 75009 Paris France","44","5","Dans notre établissement, vous pouvez déguster de délicieux repas sans avoir à attendre longtemps votre repas. Nous nous réjouissons de votre visite. Nos clients apprécient notre bistrot pour la fraîcheur et la qualité de ses plats. Testez par vous-même et laissez-vous convaincre. Notre offre vous inspirera. Vous pouvez vous installer au soleil dans notre sublime espace et profiter de l’été avec vos amis. Notre bistrot climatisé vous accueille pour passer un moment agréable peu importe la température extérieure. Un excellent bistrot pour déjeuner Vous serez ravis par nos recettes françaises et variées préparées par nos cuisiniers à votre attention. Notre excellente cuisine s’accompagne d’une vaste gamme de plats et de boissons délicieuses. Savourez les excellents plats du terroir, les plats régionaux variés ou les excellentes salades, créés avec passion par nos chefs de cuisine. Notre tiramisu et notre confiture délicate vous séduiront pour le goûter. Passez nous voir pour un petit-d","563","$$ - $$$","$12 - $45"
"JJ Beaumarchais","92 boulevard Beaumarchais, 75011 Paris France","62","5",,"288","$$ - $$$","$18 - $50"
"Bus Toque","67 Av. des Champs-Elysees, 75008 Paris France","46","5",,"900","$$$$","$65 - $105"
"Alliance","5 rue de Poissy, 75005 Paris France","34","5",,"546","$$$$","$75 - $245"
"Comptoir Gourmet","51 rue du Temple Metro Ligne 1 - Station Hotel de Ville, Metro Ligne 11 - Station Rambuteau, 75004 Paris France","41","4.5","Dining bar and delicatessen in the historic district of the Marais in Paris suggesting discovering products of countries come from Italy and from France. The amateurs, the regular customers of the district and the curious find themselves in a friendly and warm atmosphere to taste a selection of delicatessen, cheeses and products specially were selected for their authenticity. Our purpose is to make you discover the traditional products of the various countries in their quality of origin and their authentic taste. Beyond the cooking of the Grands Chefs, we want to offer to all these small craftsmen and producers the opportunity to make you share and appreciate the excellence of them produced. Our ambition is to make you participate in the rediscovery of the talents and the know-how of the producers.","1069","$$ - $$$","$10 - $50"
"Creperie du Landy","3 rue du Landy, 92110 Clichy France","1","5",,"234","$","$5 - $11"
"Le Village Russe","21 quai D Austerlitz 1-2 Place Holmes, 75013 Paris France","55","4.5","Tous les Vendredi et Samedi soirs de 20h à 7h, les Dimanche de 20h à 5h au 18 rue Paul Klee 75013 Paris, retrouvez votre resto-club cosy préféré ! Supers plats, karaoké, et le meilleur de la musique US saupoudrée de Caribbean Vibes et d'AfroBeat toute la nuit ! C'est ici qu'il faut être ! Dîner-spectacle-clubbing, excellente ambiance et magnifiques souvenirs 200% garantis !","824","$$ - $$$","$25 - $80"
"Verse Toujours","3 Avenue Des Gobelins, 75005 Paris France","31","5",,"316","$$ - $$$","$12 - $26"
"Orgueil","6 rue Popincourt, 75011 Paris France","42","5",,"653","$$$$","$20 - $50"
"Chez Cleopatre (Tacoos -Burger)","46 rue Condorcet, 75009 Paris France","58","5",,"651","$","$6 - $25"
"Petit Boutary","16 rue Jacquemont, 75017 Paris France","17","5","Dans une rue calme des Batignolles, dans une atmosphère de bistro moderne, notre Chef Kazu vous accueille à sa ""table du Chef"". Laissez vous surprendre par ses menus du jour, renouvelés à chaque saison...","574","$$$$","$49 - $64"
"Terra Mia","118 boulevard du Montparnasse, 75014 Paris France","37","5","Gastronomy Of The Naples Cuisine","627","$$ - $$$","$10 - $30"
"Milord","12 rue Tolbiac, 75013 Paris France","47","5",,"143","$$ - $$$",
"Le jardin du Kashmir","60 rue Legendre, 75017 Paris France","85","4.5",,"630","$$ - $$$",
"Bistrot Kinzo","13 rue Rougemont, 75009 Paris France","32","5","French and Japanese fusion. Fresh products and a menu that evolves with the seasons. The owner Edward Uchiyama was the Head Chef at the Intercontinental hotel Marceau, worked for Joel Robuchon and at the Four Seasons George V hotel. Come and experience a Journey to Japan and France with our 6 course Tasting menu and wine paring.","245","$$$$","$18 - $49"
"Ristorante Garum","64 rue Sedaine, 75011 Paris France","56","5",,"160","$$ - $$$",
"Le 27 Gourmand","27 boulevard des Batignolles, 75008 Paris France","87","4.5","Situé au coeur du quartier des Batignolles, à deux pas de la gare Saint-Lazare, de la place de Clichy ou encore du théâtre Hébertot et de l'Européen, depuis maintenant 23 ans, Valérie et Nicolas vous accueillent avec grand plaisir pour vous proposer une table d'exception. Nous mettons au centre de notre priorité votre satisfaction en vous proposant un cadre chic et moderne, ainsi qu'un service personnalisé. Vous dégusterez de la cuisine du Sud Ouest préparée avec des produits français d'excellente qualité tels que Magrets et Confit de Canard, Foie Gras de Canard, desserts Maison. Nous organisons tous vos évènements midi et soir.","323","$$ - $$$","$35 - $48"
"Frog & Underground","176 rue Montmartre, 75002 Paris France","49","5","Frog & Underground is based in the famous ""grands boulevards"" district. The pub, once the french beer factory, has kept its original feel with its exposed brick walls and factory style decoration... Try out our genuinely good burger and our great graft beer.","1156","$$ - $$$","$12 - $19"
"Les Apotres de Pigalle","2 rue Germain Pilon, 75018 Paris France","26","5","Eat, Drink, Share... That's Les Apôtres de Pigalle. Short Menu of dishes to share, made out of daily-cooked ingredients Selection of quality wines Vibrant atmosphere Roland, Thibault & Gautier are looking forward to receive you ;)","2676","$$ - $$$","$5 - $25"
"Ya Bayte","1 rue des Grands Degres, 75005 Paris France","70","5","Street food libanais, plats frais préparés minute, pain maison, cuissons au charbon de bois, falafel, chawarma, burger","238","$","$7 - $20"
"Signature Montmartre","12 Rue des Trois Freres, 75018 Paris France","69","5","French Asian fusion restaurant in Paris Montmartre, just next to the Sacre Coeur. Signature Montmartre Restaurant provides Asian traditional dishes and spices adapted with French gastronomy. Signature Restaurant's chefs cooks quality and healthy products to give you the best of both worlds!","501","$$ - $$$","$38 - $78"
"Le Faham by Kelly Rangama","108 rue Cardinet, 75017 Paris France","77","5","Cuisine traditionnelle gastronomique aux influences ultra-marine, inspirée par la Réunion et les Dom-Tom, la Cheffe Kelly Rangama s'imprègne des plats traditionnels de son enfance à la Réunion et de ses voyages sur les 9 départements d'outre-mer durant son émission culinaire ""voyages et délices"".","152","$$$$","$50 - $65"
"L'ARCHESTE","79 Rue de la Tour, 75116 Paris France","72","5",,"268","$$$$","$85 - $220"
"Les Epiciers","33 rue de Montmorency, 75003 Paris France","81","5","A typically french wine bar, ""LES EPICIERS"" is the place for tasting cheese and ham platters served with tasty wines selected by the owners themselves. The atmosphère is very cosy and you will rapidly feel like at home As the shop also works as a french deli it is possible to buy and take away typical french products.","295","$$ - $$$","$6 - $25"
"Zincou Vins & Tapas","50 rue Blanche, 75009 Paris France","80","5","Zincou is both a wine and tapas restaurant. The chef offers a gourmet French cuisine to share as tapas. We select fresh and local products as much as possible in order to put forward the ""French terroir"". About the cellar, there is a selection of more than 40 wines served by the glass. We propose different types of wine such as organic, biodynamic, or nature ones.","110","$$ - $$$","$10 - $40"
"Diggity","32 rue Saint Maur Diggity restaurant, 75011 Paris France","64","5","Découvrez le restaurant Diggity, un lieu où la cuisine du terroir prend vie avec passion. Niché dans un cadre chaleureux, chaque plat raconte une histoire, mettant en avant les saveurs authentiques. Notre équipe dévouée vous accueille pour une expérience gastronomique conviviale et délicieuse. Venez goûter à notre cuisine réconfortante et laissez-vous emporter par l'envie irrésistible de partager un bon moment autour de plats qui réveillent les papilles. Diggity, c'est beaucoup de nous pour que vous vous sentiez chez vous. 32 rue Saint Maur 75011 - Paris.","175","$$ - $$$","$19 - $35"
"Bistrot Beyrouth","103 Rue de Charonne, 75011 Paris France","60","4.5",,"270","$$ - $$$","$5 - $44"
"Les Barioles de Maud Paris 9","12 rue Buffault, 75009 Paris France","59","5","Le seul endroit à Paris pour découvrir et déguster des bariolés !! La cuisine de Maud est 100% maison avec des produits frais et de saison, les bariolés sont des délicieux petits plats ou desserts colorés au naturel pour donner envie d'en croquer :) Vous pourrez déguster des bariolés lors d'un brunch en semaine ou un brunch le week-end, d'un déjeuner (bowl déjeuner), d'un dîner ou même d'un after-work ! En ce moment, le bariolé ""Pomodoro"" vous attend : tomates rôties, mozzarella, pesto de basilic et croûtons maison, dans sa jolie coque rouge croustillante... L'équipe de Maud vous attend tous les jours avec le sourire :)","1203","$$ - $$$","$10 - $30"
"Pardi","85 B boulevard de Magenta Marché Saint Quentin, 75010 Paris France","71","5","Chef's cooking friendly, delicate and authentic.To share a drink, gourmet tapas and pintxos around the counter in the heart of a covered market. The place is extraordinary!","155","$$ - $$$","$15 - $30"
"Passione","123 avenue Parmentier, 75011 Paris France","57","5",,"176","$$$$",
"La Table de Colette","17 rue Laplace La Table de colette, 75005 Paris France","96","5","Une cuisine savoureuse dans le respect de la planète, voilà le pari de la Table de Colette... Lorsque le Chef Josselin Marie ouvre fin 2019 le premier restaurant gastronomique éco-responsable décarboné, le prestigieux guide Gault & Millau lui décerne 13,5/20. Une équipe engagée, un service chaleureux, des plats savoureux autour de trois menus à l’aveugle, proposés en 3 temps (39€), en 5 temps (69€), et 7 temps (89€), ainsi qu’une très belle carte des vins qui permettra aux palais les plus fins de trouver le parfait accord. Et pour les beaux jours une des plus belles terrasses du quartier vous attend, alors venez découvrir la belle cuisine d’inspiration végétale de Josselin Marie.","1131","$$$$","$45 - $95"
"Pizza Presto","avenue Paul Vaillant Couturier, 93330 Neuilly-sur-Marne France","1","5",,"561","$$ - $$$","$10 - $30"
"Domenico's","8 rue Saint Lazare, 75009 Paris France","39","5","Niché en plein cœur du 9eme arrondissement de Paris, à mi-chemin entre Pigalle et la Gare Saint Lazare, Domenico's propose des recettes traditionnelles siciliennes et du sud de l'Italie remises au goût du jour.","955","$$ - $$$","$20 - $29"
"Akira Back Paris","33 avenue George V, 75008 Paris France","83","5",,"185","$$$$",
"La Bonne Franquette","18 Rue Saint Rustique Angle 2, Rue des Saules, 75018 Paris France","65","4.5","A 16th-century house in the heart of Old Montmartre, La Bonne Franquette keeps alive the Montmartre tradition of cheerfulness and friendliness, welcoming artists and winemakers as well as those who love good wine and food, in keeping with its motto ""Love, Eat, Drink and Sing"". Formerly known as ""Aux Billards en Bois"", it is said that ""La Bonne Franquette"" was so named in 1925 by Francisque Poulbot. Perched on the summit of La Butte, set slightly apart from the Place du Tertre, the restaurant transports tourists and Parisians alike with its village ambiance and its atmosphere typical of Old Montmartre. La Bonne Franquette's cuisine serves simple, traditional dishes using local produce selected for its consistently high quality. The house speciality is braised beef with honey-glazed carrots.","1168","$$ - $$$","$10 - $60"
"Madito","12 rue de Candie, 75011 Paris France","74","5",,"351","$$ - $$$",
"La Sorbonne","78 Av. Du Dr Arnold Netter, 75012 Paris France","73","5",,"176","$$ - $$$","$10 - $20"
"Bar Italia Brasserie","22 rue Moncey, 75009 Paris France","99","4.5",,"1270","$$ - $$$","$16 - $50"
"Bao & ME","89 rue du Faubourg Poissonniere, 75009 Paris France","38","5",,"867","$","$11 - $25"
"AlKaram","15 rue Ferdinand Fabre, 75015 Paris France","61","5",,"869","$$ - $$$","$17 - $32"
"La Barriere de Clichy","1 rue de Paris, 92110 Clichy France","2","5",,"468","$$$$","$25 - $60"
"Le Bistrot d'Yves","33 rue Cardinet, 75017 Paris France","97","5",,"718","$$ - $$$","$20 - $40"
"Publisher - Restaurant","33 Rue de Constantinople, 75008 Paris France","101","4.5","Gastro Pub, Draught beers. At Publisher, you can enjoy our own beer, directly brewed in Paris, discover our huge shelf of spirits from all around the world, and eat very fine food. Come and discover our varied menu and a choice of delicious daily dishes! Our staff will welcome you as if you were at home and suggest you atypical dishes from the Publisher's kitchen. Let's enjoy fresh cocktails, french wines, and abnormal products","324","$$ - $$$","$24 - $250"
"Le Vent d'Armor","25 quai de la Tournelle, 75005 Paris France","95","5",,"437","$$ - $$$","$30 - $70"
"Le Maxan Restaurant","3 rue Quentin Bauchart, 75008 Paris France","75","4.5",,"326","$$$$","$38 - $60"
"Papa Mia","50 rue Louis Rouquier, 92300 Levallois-Perret France","1","5",,"280","$$ - $$$","$12 - $25"
"Cote Sushi Enghien-les-Bains","14 rue de Mora, 95880 Enghien Les Bains France","1","5","Explorez une fusion exceptionnelle de saveurs japonaises et péruviennes dans notre restaurant Nikkei, Côté Sushi Enghien-les-Bains . Plongez dans une expérience culinaire élégante, alliant sushis frais et créations audacieuses comme le ceviche Nikkei.
Que ce soit pour un déjeuner rapide, une célébration spéciale ou une expérience à emporter, notre équipe dévouée vous promet des moments uniques. Profitez de nos options variées : venez manger sur place, commandez à emporter ou faites-vous livrer via notre site.","109","$$ - $$$",
"Chez Pitou","28 rue Tholoze, 75018 Paris France","109","5","home-made cooking, worked with care, fresh products selected for their seasonality and a selection of wines at reasonable price in agreement with the dishes. A warm and friendly place, where to please yourself is the most important. Cooked dishes with passion and a friendly atmosphere to awaken your taste buds. See you soon in Montmartre !","270","$$ - $$$","$10 - $25"
"Perception","53 rue Blanche, 75009 Paris France","52","5",,"184","$$$$",
"La MiN","45 Rue de Montreuil, 75011 Paris France","117","5","Place to eat, drink and speak","671","$$ - $$$","$20 - $36"
"Jimmy 2 Fois","15 rue Letort, 75018 Paris France","84","5",,"490","$$ - $$$","$9 - $17"
"MoSuke","11 rue Raymond Losserand, 75014 Paris France","110","5",,"349","$$$$",
"La Maison du Boulevard","40 Boulevard de l'Hopital, 75005 Paris France","54","5",,"90","$$ - $$$","$15 - $25"
"Le Confidentiel","6 rue Robert Estienne, 75008 Paris France","68","4.5","Upscale French restaurant HALAL kind located in the prestigious golden triangle of Paris, fields axis Elysées, Avenue Montaigne, François 1st Street, The Confidential welcomes you in a cozy lounge setting for a romantic meal, a group, or for a meal of business leader Rudy Suzan will satisfy you thanks to its past experience in the hotel Costes, Durand Smith, the Villa ....","1811","$$$$","$20 - $40"
"La Veraison","64 rue de la Croix Nivert, 75015 Paris France","114","4.5",,"726","$$ - $$$","$45 - $60"
"Marche Ou Crepe","18 rue des Haies, 75020 Paris France","76","5",,"370","$","$9 - $15"
"Granite par Tom Meyer","6 rue Bailleul, 75001 Paris France","82","5","Granite est le nouvel établissement du Groupe Eclore par le chef Tom Meyer, associé à Stéphane Manigold. Lieu vivant faisant la part belle aux matériaux naturels et organiques.","155","$$$$",
"Il Tronchetto","22 rue de Lourmel, 75015 Paris France","63","5",,"735","$$ - $$$",
"AMORE E FANTASIA","134 rue Louis Rouquier, 92300 Levallois-Perret France","2","5",,"282","$$ - $$$","$15 - $35"
"Origines","6 rue de Ponthieu, 75008 Paris France","94","5","After 5 years and one Michelin Star at Les Climats, Julien Boscus opened his own restaurant. Based on sourcing of the best french products his cuisine is a real experience of the authentic french cuisine. Wine list with over 500 references awarded with 2 Glasses « Best of Award of Excellence » by Wine Spectator","300","$$$$","$100 - $200"
"Selva","22 Rue Du Sommerard, 75005 Paris France","106","5",,"378","$$ - $$$","$20 - $50"
"Restaurant L'INITIAL","9 rue de Bievre, 75005 Paris France","88","5","Opening Times Lunch | Wednesday to Saturday 12.00pm to 1.30pm Dinner | Tuesday to Saturday 7.00pm to 9.00pm","520","$$$$","$48 - $98"
"Maison Cluny","3 rue de Cluny, 75005 Paris France","107","5","Nouvelle adresse bistrot chic dans le 5ème. Carte de produits frais, de saison et renouvelée régulièrement. Après 10 ans au Restaurant Le Cornichon (meilleur bistrot parisien 2013), Franck Bellanger et Matthieu Nadjar reviennent avec une nouvelle adresse encore plus conviviale dans un cadre exceptionnel entre la Sorbonne et le musée de Cluny.","248","$$$$","$35 - $70"
"Restaurant Mumi","14 rue Sauval, 75001 Paris France","90","5",,"423","$$$$","$33 - $200"
